Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.02841,0.00000,-0.00316,0.00000
0.01000,0.00319,0.09442,0.00003,0.01049,0.00319
0.02000,0.01994,0.32263,0.00017,0.03585,0.01994
0.03000,0.05150,0.59482,0.00045,0.06609,0.05150
0.04000,0.09781,0.85604,0.00085,0.09512,0.09781
0.05000,0.15875,1.12762,0.00138,0.12529,0.15875
0.06000,0.23412,1.42284,0.00204,0.15809,0.23412
0.07000,0.32231,1.74740,0.00280,0.19416,0.32231
0.08000,0.41825,2.14413,0.00364,0.23824,0.41825
0.09000,0.51887,2.42938,0.00451,0.26993,0.51887
0.10000,0.62262,2.77715,0.00541,0.30857,0.62262
0.11000,0.72881,3.21167,0.00634,0.35685,0.72881
0.12000,0.83687,3.50846,0.00728,0.38983,0.83687
0.13000,0.94662,3.85187,0.00823,0.42799,0.94662
0.14000,1.05787,4.16766,0.00920,0.46307,1.05787
0.15000,1.16875,4.33192,0.01016,0.48132,1.16875
0.16000,1.27581,4.53351,0.01109,0.50372,1.27581
0.17000,1.37731,4.74702,0.01198,0.52745,1.37731
0.18000,1.47275,5.03426,0.01281,0.55936,1.47275
0.19000,1.56325,5.25323,0.01359,0.58369,1.56325
0.20000,1.64981,5.44429,0.01435,0.60492,1.64981
0.21000,1.73412,5.67333,0.01508,0.63037,1.73412
0.22000,1.81725,5.88917,0.01580,0.65435,1.81725
0.23000,1.90012,6.13332,0.01652,0.68148,1.90012
0.24000,1.98337,6.34953,0.01725,0.70550,1.98337
0.25000,2.06719,6.55861,0.01798,0.72873,2.06719
0.26000,2.15150,6.79771,0.01871,0.75530,2.15150
0.27000,2.23625,6.99837,0.01945,0.77760,2.23625
0.28000,2.32125,7.21073,0.02018,0.80119,2.32125
0.29000,2.40631,7.46123,0.02092,0.82903,2.40631
0.30000,2.49125,7.56767,0.02166,0.84085,2.49125
0.31000,2.57600,7.61351,0.02240,0.84595,2.57600
0.32000,2.66050,7.86171,0.02313,0.87352,2.66050
0.33000,2.74487,8.03582,0.02387,0.89287,2.74487
0.34000,2.82894,8.22770,0.02460,0.91419,2.82894
0.35000,2.91287,8.43813,0.02533,0.93757,2.91287
0.36000,2.99669,8.60984,0.02606,0.95665,2.99669
0.37000,3.08044,8.78654,0.02679,0.97628,3.08044
0.38000,3.16400,9.04955,0.02751,1.00551,3.16400
0.39000,3.24762,9.15729,0.02824,1.01748,3.24762
0.40000,3.33119,9.24739,0.02897,1.02749,3.33119
0.41000,3.41469,9.41391,0.02969,1.04599,3.41469
0.42000,3.49825,9.45346,0.03042,1.05038,3.49825
0.43000,3.58181,9.58890,0.03115,1.06543,3.58181
0.44000,3.66525,9.80028,0.03187,1.08892,3.66525
0.45000,3.74881,9.91233,0.03260,1.10137,3.74881
0.46000,3.83237,9.97309,0.03332,1.10812,3.83237
0.47000,3.91581,10.04561,0.03405,1.11618,3.91581
0.48000,3.99931,10.12459,0.03478,1.12495,3.99931
0.49000,4.08281,10.23069,0.03550,1.13674,4.08281
0.50000,4.16619,10.30769,0.03623,1.14530,4.16619
0.51000,4.24956,10.28797,0.03695,1.14311,4.24956
0.52000,4.33294,10.37083,0.03768,1.15231,4.33294
0.53000,4.41625,10.61691,0.03840,1.17966,4.41625
0.54000,4.49962,10.73623,0.03913,1.19291,4.49962
0.55000,4.58300,10.89643,0.03985,1.21071,4.58300
0.56000,4.66637,11.10742,0.04058,1.23416,4.66637
0.57000,4.74975,11.12591,0.04130,1.23621,4.74975
0.58000,4.83312,11.15415,0.04203,1.23935,4.83312
0.59000,4.91650,11.38775,0.04275,1.26531,4.91650
0.60000,4.99987,11.40465,0.04348,1.26718,4.99987
0.61000,5.08319,11.42174,0.04420,1.26908,5.08319
0.62000,5.16650,11.58860,0.04493,1.28762,5.16650
0.63000,5.24981,11.63655,0.04565,1.29295,5.24981
0.64000,5.33319,11.65639,0.04638,1.29515,5.33319
0.65000,5.41656,11.86493,0.04710,1.31833,5.41656
0.66000,5.49994,11.94869,0.04783,1.32763,5.49994
0.67000,5.58331,12.03573,0.04855,1.33730,5.58331
0.68000,5.66662,12.23237,0.04927,1.35915,5.66662
0.69000,5.75000,12.24621,0.05000,1.36069,5.75000
0.70000,5.83331,12.30834,0.05072,1.36759,5.83331
0.71000,5.91662,12.45348,0.05145,1.38372,5.91662
0.72000,6.00000,12.45972,0.05217,1.38441,6.00000
0.73000,6.08325,12.46729,0.05290,1.38525,6.08325
0.74000,6.16656,12.58865,0.05362,1.39874,6.16656
0.75000,6.24994,12.58793,0.05435,1.39866,6.24994
0.76000,6.33331,12.63922,0.05507,1.40436,6.33331
0.77000,6.41662,12.84903,0.05580,1.42767,6.41662
0.78000,6.50000,12.90544,0.05652,1.43394,6.50000
0.79000,6.58337,12.98337,0.05725,1.44260,6.58337
0.80000,6.66669,13.15997,0.05797,1.46222,6.66669
0.81000,6.75000,13.20592,0.05870,1.46732,6.75000
0.82000,6.83337,13.32889,0.05942,1.48099,6.83337
0.83000,6.91662,13.50971,0.06014,1.50108,6.91662
0.84000,7.00000,13.47623,0.06087,1.49736,7.00000
0.85000,7.08331,13.51958,0.06159,1.50218,7.08331
0.86000,7.16656,13.58487,0.06232,1.50943,7.16656
0.87000,7.24994,13.62254,0.06304,1.51362,7.24994
0.88000,7.33331,13.58259,0.06377,1.50918,7.33331
0.89000,7.41662,13.65303,0.06449,1.51700,7.41662
0.90000,7.50000,13.65408,0.06522,1.51712,7.50000
0.91000,7.58331,13.76008,0.06594,1.52890,7.58331
0.92000,7.66662,13.92148,0.06667,1.54683,7.66662
0.93000,7.75000,13.94967,0.06739,1.54996,7.75000
0.94000,7.83331,14.00918,0.06812,1.55658,7.83331
0.95000,7.91656,14.06602,0.06884,1.56289,7.91656
0.96000,7.99994,13.97394,0.06956,1.55266,7.99994
0.97000,8.08331,13.98679,0.07029,1.55409,8.08331
0.98000,8.16662,14.23063,0.07101,1.58118,8.16662
0.99000,8.25000,14.37488,0.07174,1.59721,8.25000
1.00000,8.33337,14.44431,0.07246,1.60492,8.33337
1.01000,8.41669,14.69929,0.07319,1.63325,8.41669
1.02000,8.50006,14.81073,0.07391,1.64564,8.50006
1.03000,8.58344,14.83404,0.07464,1.64823,8.58344
1.04000,8.66669,14.83272,0.07536,1.64808,8.66669
1.05000,8.75000,14.84215,0.07609,1.64913,8.75000
1.06000,8.83331,14.90565,0.07681,1.65618,8.83331
1.07000,8.91669,14.86279,0.07754,1.65142,8.91669
1.08000,9.00000,14.76081,0.07826,1.64009,9.00000
1.09000,9.08331,14.72824,0.07899,1.63647,9.08331
1.10000,9.16669,14.87827,0.07971,1.65314,9.16669
1.11000,9.25006,14.80605,0.08044,1.64512,9.25006
1.12000,9.33344,14.83358,0.08116,1.64818,9.33344
1.13000,9.41675,14.99108,0.08188,1.66568,9.41675
1.14000,9.50006,15.04146,0.08261,1.67127,9.50006
1.15000,9.58337,15.08799,0.08333,1.67644,9.58337
1.16000,9.66669,15.26974,0.08406,1.69664,9.66669
1.17000,9.75000,15.27238,0.08478,1.69693,9.75000
1.18000,9.83331,15.36418,0.08551,1.70713,9.83331
1.19000,9.91662,15.64213,0.08623,1.73801,9.91662
1.20000,10.00000,15.67497,0.08696,1.74166,10.00000
1.21000,10.08331,15.72829,0.08768,1.74759,10.08331
1.22000,10.16669,15.79992,0.08841,1.75555,10.16669
1.23000,10.25006,15.62065,0.08913,1.73563,10.25006
1.24000,10.33337,15.48965,0.08986,1.72107,10.33337
1.25000,10.41669,15.57556,0.09058,1.73062,10.41669
1.26000,10.50000,15.57240,0.09130,1.73027,10.50000
1.27000,10.58331,15.68406,0.09203,1.74267,10.58331
1.28000,10.66662,15.85505,0.09275,1.76167,10.66662
1.29000,10.74994,15.84335,0.09348,1.76037,10.74994
1.30000,10.83331,15.81905,0.09420,1.75767,10.83331
1.31000,10.91662,15.88104,0.09493,1.76456,10.91662
1.32000,11.00000,15.89705,0.09565,1.76634,11.00000
1.33000,11.08337,15.99566,0.09638,1.77730,11.08337
1.34000,11.16669,16.16156,0.09710,1.79573,11.16669
1.35000,11.25006,16.11211,0.09783,1.79023,11.25006
1.36000,11.33337,16.16315,0.09855,1.79591,11.33337
1.37000,11.41662,16.31394,0.09927,1.81266,11.41662
1.38000,11.49994,16.29048,0.10000,1.81005,11.49994
1.39000,11.58325,16.22671,0.10072,1.80297,11.58325
1.40000,11.66656,16.24779,0.10145,1.80531,11.66656
1.41000,11.74987,16.19695,0.10217,1.79966,11.74987
1.42000,11.83331,16.20799,0.10290,1.80089,11.83331
1.43000,11.91662,16.32607,0.10362,1.81401,11.91662
1.44000,12.00000,16.42513,0.10435,1.82501,12.00000
1.45000,12.08337,16.43018,0.10507,1.82558,12.08337
1.46000,12.16669,16.45097,0.10580,1.82789,12.16669
1.47000,12.25000,16.43030,0.10652,1.82559,12.25000
1.48000,12.33331,16.53257,0.10725,1.83695,12.33331
1.49000,12.41662,16.71107,0.10797,1.85679,12.41662
1.50000,12.49994,16.68148,0.10870,1.85350,12.49994
1.51000,12.58331,16.60590,0.10942,1.84510,12.58331
1.52000,12.66662,16.66671,0.11014,1.85186,12.66662
1.53000,12.75000,16.59160,0.11087,1.84351,12.75000
1.54000,12.83337,16.52587,0.11159,1.83621,12.83337
1.55000,12.91669,16.63304,0.11232,1.84812,12.91669
1.56000,13.00006,16.63456,0.11304,1.84828,13.00006
1.57000,13.08337,16.67335,0.11377,1.85259,13.08337
1.58000,13.16662,16.82801,0.11449,1.86978,13.16662
1.59000,13.25000,16.82936,0.11522,1.86993,13.25000
1.60000,13.33331,16.81961,0.11594,1.86885,13.33331
1.61000,13.41662,16.93349,0.11667,1.88150,13.41662
1.62000,13.50000,16.93991,0.11739,1.88221,13.50000
1.63000,13.58337,16.92610,0.11812,1.88068,13.58337
1.64000,13.66668,17.01532,0.11884,1.89059,13.66668
1.65000,13.75006,16.98556,0.11957,1.88728,13.75006
1.66000,13.83337,16.98904,0.12029,1.88767,13.83337
1.67000,13.91675,17.07165,0.12102,1.89685,13.91675
1.68000,14.00006,17.05656,0.12174,1.89517,14.00006
1.69000,14.08337,17.11943,0.12246,1.90216,14.08337
1.70000,14.16669,17.22927,0.12319,1.91436,14.16669
1.71000,14.25000,17.19188,0.12391,1.91021,14.25000
1.72000,14.33331,17.17674,0.12464,1.90853,14.33331
1.73000,14.41669,17.33816,0.12536,1.92646,14.41669
1.74000,14.50006,17.33180,0.12609,1.92576,14.50006
1.75000,14.58337,17.28039,0.12681,1.92004,14.58337
1.76000,14.66669,17.37794,0.12754,1.93088,14.66669
1.77000,14.75006,17.34612,0.12826,1.92735,14.75006
1.78000,14.83331,17.28622,0.12899,1.92069,14.83331
1.79000,14.91662,17.39408,0.12971,1.93268,14.91662
1.80000,15.00000,17.35413,0.13043,1.92824,15.00000
1.81000,15.08331,17.33853,0.13116,1.92650,15.08331
1.82000,15.16662,17.50855,0.13188,1.94539,15.16662
1.83000,15.25000,17.53838,0.13261,1.94871,15.25000
1.84000,15.33337,17.56209,0.13333,1.95134,15.33337
1.85000,15.41669,17.69507,0.13406,1.96612,15.41669
1.86000,15.50006,17.56593,0.13478,1.95177,15.50006
1.87000,15.58337,17.44467,0.13551,1.93830,15.58337
1.88000,15.66668,17.52072,0.13623,1.94675,15.66668
1.89000,15.75006,17.52013,0.13696,1.94668,15.75006
1.90000,15.83337,17.55449,0.13768,1.95050,15.83337
1.91000,15.91662,17.67776,0.13841,1.96420,15.91662
1.92000,16.00000,17.71586,0.13913,1.96843,16.00000
1.93000,16.08331,17.67614,0.13985,1.96402,16.08331
1.94000,16.16656,17.73913,0.14058,1.97101,16.16656
1.95000,16.24993,17.76073,0.14130,1.97341,16.24993
1.96000,16.33331,17.85385,0.14203,1.98376,16.33331
1.97000,16.41662,18.04593,0.14275,2.00510,16.41662
1.98000,16.50006,17.95744,0.14348,1.99527,16.50006
1.99000,16.58337,17.84346,0.14420,1.98261,16.58337
2.00000,16.66668,17.84324,0.14493,1.98258,16.66668
2.01000,16.75006,17.80102,0.14565,1.97789,16.75006
2.02000,16.83337,17.80785,0.14638,1.97865,16.83337
2.03000,16.91669,17.90932,0.14710,1.98992,16.91669
2.04000,17.00000,17.84244,0.14783,1.98249,17.00000
2.05000,17.08331,17.83114,0.14855,1.98124,17.08331
2.06000,17.16662,17.90197,0.14927,1.98911,17.16662
2.07000,17.25000,17.83989,0.15000,1.98221,17.25000
2.08000,17.33331,17.83837,0.15072,1.98204,17.33331
2.09000,17.41662,17.94380,0.15145,1.99376,17.41662
2.10000,17.50000,17.89504,0.15217,1.98834,17.50000
2.11000,17.58337,17.86409,0.15290,1.98490,17.58337
2.12000,17.66669,17.98850,0.15362,1.99872,17.66669
2.13000,17.74994,17.98632,0.15435,1.99848,17.74994
2.14000,17.83325,18.03496,0.15507,2.00388,17.83325
2.15000,17.91656,18.18090,0.15580,2.02010,17.91656
2.16000,17.99993,18.20831,0.15652,2.02315,17.99993
2.17000,18.08331,18.25173,0.15725,2.02797,18.08331
2.18000,18.16662,18.33757,0.15797,2.03751,18.16662
2.19000,18.25006,18.27958,0.15870,2.03106,18.25006
2.20000,18.33337,18.16552,0.15942,2.01839,18.33337
2.21000,18.41668,18.17723,0.16015,2.01969,18.41668
2.22000,18.50006,18.17902,0.16087,2.01989,18.50006
2.23000,18.58337,18.22219,0.16159,2.02469,18.58337
2.24000,18.66662,18.36667,0.16232,2.04074,18.66662
2.25000,18.75000,18.29055,0.16304,2.03228,18.75000
2.26000,18.83331,18.30448,0.16377,2.03383,18.83331
2.27000,18.91669,18.52378,0.16449,2.05820,18.91669
2.28000,19.00006,18.49772,0.16522,2.05530,19.00006
2.29000,19.08344,18.39978,0.16594,2.04442,19.08344
2.30000,19.16675,18.44085,0.16667,2.04898,19.16675
2.31000,19.25006,18.41599,0.16739,2.04622,19.25006
2.32000,19.33337,18.52219,0.16812,2.05802,19.33337
2.33000,19.41668,18.75992,0.16884,2.08444,19.41668
2.34000,19.50000,18.74025,0.16957,2.08225,19.50000
2.35000,19.58331,18.73918,0.17029,2.08213,19.58331
2.36000,19.66662,18.86455,0.17101,2.09606,19.66662
2.37000,19.75000,18.69424,0.17174,2.07714,19.75000
2.38000,19.83337,18.61398,0.17246,2.06822,19.83337
2.39000,19.91668,18.64143,0.17319,2.07127,19.91668
2.40000,20.00006,18.50617,0.17391,2.05624,20.00006
2.41000,20.08337,18.53414,0.17464,2.05935,20.08337
2.42000,20.16668,18.67736,0.17536,2.07526,20.16668
2.43000,20.25000,18.69847,0.17609,2.07761,20.25000
2.44000,20.33331,18.66543,0.17681,2.07394,20.33331
2.45000,20.41662,18.69419,0.17754,2.07713,20.41662
2.46000,20.50000,18.59804,0.17826,2.06645,20.50000
2.47000,20.58331,18.56296,0.17899,2.06255,20.58331
2.48000,20.66662,18.66122,0.17971,2.07347,20.66662
2.49000,20.75000,18.71067,0.18043,2.07896,20.75000
2.50000,20.83337,18.81089,0.18116,2.09010,20.83337
2.51000,20.91669,18.89306,0.18188,2.09923,20.91669
2.52000,21.00006,18.84113,0.18261,2.09346,21.00006
2.53000,21.08337,18.86371,0.18333,2.09597,21.08337
2.54000,21.16662,19.01901,0.18406,2.11322,21.16662
2.55000,21.25000,18.95676,0.18478,2.10631,21.25000
2.56000,21.33331,18.91453,0.18551,2.10161,21.33331
2.57000,21.41662,18.99288,0.18623,2.11032,21.41662
2.58000,21.49994,18.92879,0.18696,2.10320,21.49994
2.59000,21.58331,18.92105,0.18768,2.10234,21.58331
2.60000,21.66662,19.00275,0.18841,2.11142,21.66662
